cod_giro_comercio;nom_giro_comercio
742;SERVICIOS VETERINARIOS
763;COOPERATIVAS AGRÍCOLAS
780;SERVICIOS DE PAISAJISMO Y HORTICULTURA
1520;CONTRATISTAS GENERALES: RESIDENCIALES Y COMERCIALES
1711;CONTRATISTAS DE CALEFACCIÓN, PLOMERÍA Y AIRE ACONDICIONADO
1731;CONTRATISTAS ELÉCTRICOS
1740;CONTRATISTAS DE ALBAÑILERÍA, CANTERÍA, COLOCACIÓN DE BALDOSAS, ENLUCIDO Y AISLAMIENTO
1750;CONTRATISTAS DE CARPINTERÍA
1761;CONTRATISTAS DE TECHADO, REVESTIMIENTO Y CHAPISTERÍA
1771;CONTRATISTAS DE TRABAJOS EN CONCRETO
1799;CONTRATISTAS DE OFICIOS ESPECIALES (NO CLASIFICADOS EN OTRA PARTE)
2741;PUBLICACIONES Y IMPRENTAS DIVERSAS
2791;COMPOSICIÓN TIPOGRÁFICA, FABRICACIÓN DE PLANCHAS Y SERVICIOS RELACIONADOS
2842;PREPARACIONES ESPECIALES PARA LIMPIEZA, PULIDO Y SANEAMIENTO
3000;UNITED AIRLINES
3001;AMERICAN AIRLINES
3002;PAN AMERICAN
3003;EUROFLY AIRLINES
3004;DRAGON AIRLINES
3005;BRITISH AIRWAYS
3006;JAPAN AIRLINES
3007;AIR FRANCE
3008;LUFTHANSA
3009;AIR CANADA
3010;KLM (ROYAL DUTCH AIRLINES)
3011;AEROFLOT
3012;QANTAS
3013;ITA AIRWAYS (ANTIGUA ALITALIA)
3014;SAUDI ARABIAN AIRLINES
3015;SWISS INTERNATIONAL AIRLINES
3016;SAS
3017;SOUTH AFRICAN AIRWAYS
3018;VARIG (BRASIL)
3019;EASTERN AIRLINES
3020;AIR-INDIA
3021;AIR ALGERIE
3022;PHILIPPINE AIRLINES
3023;MEXICANA
3024;PAKISTAN INTERNATIONAL
3025;AIR NEW ZEALAND
3026;EMIRATES AIRLINES
3027;UTA/INTERAIR
3028;KM MALTA AIRLINES (ANTIGUA AIR MALTA)
3029;SN BRUSSELS AIRLINES
3030;AEROLÍNEAS ARGENTINAS
3031;OLYMPIC AIRWAYS
3032;EL AL
3033;ANSETT AIRLINES
3034;ETIHAD AIRWAYS
3035;TAP (PORTUGAL)
3036;VASP (BRASIL)
3037;EGYPTAIR
3038;KUWAIT AIRWAYS
3039;AVIANCA
3040;GULF AIR (BAHREIN)
3041;BALKAN-BULGARIAN AIRLINES
3042;FINNAIR
3043;AER LINGUS
3044;AIR LANKA
3045;NIGERIA AIRWAYS
3046;CRUZEIRO DO SUL (BRASIL)
3047;TURKISH AIRLINES
3048;ROYAL AIR MAROC
3049;TUNIS AIR
3050;ICELANDAIR
3051;AUSTRIAN AIRLINES
3052;LAN AIRLINES
3053;AVIACO (ESPAÑA)
3054;LADECO (CHILE)
3055;LAB (BOLIVIA)
3056;JET AIRWAYS
3057;VIRGIN AMERICA
3058;DELTA
3059;DBA AIRLINES
3060;NORTHWEST
3061;CONTINENTAL
3062;HAPAG-LLOYD EXPRESS AIRLINES
3063;US AIRWAYS
3064;ADRIA AIRWAYS
3065;AIRINTER
3066;SOUTHWEST
3067;VANGUARD AIRLINES
3068;AIR ASTANA
3069;SUN COUNTRY AIRLINES
3070;FLYDUBAI
3071;AIR BRITISH COLUMBIA
3072;CEBU PACIFIC AIRLINES
3075;SINGAPORE AIRLINES
3076;AEROMÉXICO
3077;THAI AIRWAYS
3078;CHINA AIRLINES
3079;JETSTAR AIRWAYS
3080;SWOOP INC
3081;XIAMEN AIRLINES
3082;KOREAN AIRLINES
3083;AIR AFRIQUE
3084;EVA AIRWAYS
3085;MIDWEST EXPRESS AIRLINES
3086;CARNIVAL AIRLINES
3087;METRO AIRLINES
3088;CROATIA AIRLINES
3089;TRANSAERO
3090;UNI AIRWAYS CORPORATION
3094;ZAMBIA AIRWAYS
3096;AIR ZIMBABWE
3097;SPANAIR
3098;ASIANA AIRLINES
3099;CATHAY PACIFIC
3100;MALAYSIAN AIRLINE SYSTEM
3102;IBERIA
3103;GARUDA (INDONESIA)
3106;BRAATHENS S.A.F.E. (NORUEGA)
3110;WINGS AIRWAYS
3111;BRITISH MIDLAND
3112;WINDWARD ISLAND
3115;TOWER AIR
3117;VIASA
3118;VALLEY AIRLINES
3125;TAN
3126;TALAIR
3127;TACA INTERNATIONAL
3129;SURINAM AIRWAYS
3130;SUNWORLD INTERNATIONAL
3131;VLM AIRLINES
3132;FRONTIER AIRLINES
3133;SUNBELT AIRLINES
3135;SUDAN AIRWAYS
3136;QATAR AIRWAYS
3137;SINGLETON
3138;SIMMONS AIRLINES
3143;SCENIC AIRLINES
3144;VIRGIN ATLANTIC
3145;SAN JUAN AIRLINES
3146;LUXAIR
3148;AIR LITTORAL SA
3151;AIR ZAIRE
3154;PRINCEVILLE
3156;GO FLY LTD
3159;PBA
3161;ALL NIPPON AIRWAYS
3164;NORONTAIR
3165;NEW YORK HELICOPTER
3167;AEROCONTINENTE
3168;HAINAN AIRLINES
3170;MOUNT COOK
3171;CANADIAN AIRLINES INTERNATIONAL
3172;NATIONAIR
3174;JETBLUE AIRWAYS
3175;MIDDLE EAST AIR
3176;METROFLIGHT AIRLINES
3177;AIRTRAN AIRWAYS
3178;MESA AIR
3180;WESTJET AIRLINES
3181;MALEV
3182;LOT (POLONIA)
3183;OMAN AVIATION SERVICES
3184;LIAT
3185;LAV (VENEZUELA)
3186;LAP (PARAGUAY)
3187;LACSA (COSTA RICA)
3188;VIRGIN EXPRESS
3190;JUGOSLAV AIR
3191;ISLAND AIRLINES
3193;INDIAN AIRLINES
3196;HAWAIIAN AIR
3197;HAVASU AIRLINES
3200;GUYANA AIRWAYS
3203;GOLDEN PACIFIC AIR
3204;FREEDOM AIR
3206;CHINA EASTERN AIRLINES
3211;NORWEGIAN AIR SHUTTLE
3212;DOMINICANA
3213;BRAATHENS REGIONAL
3215;DAN AIR SERVICES
3216;CUMBERLAND AIRLINES
3217;CSA
3218;CROWN AIR
3219;COPA
3220;COMPAÑÍA FAUCETT
3221;TRANSPORTES AÉREOS MILITARES ECUATORIANOS
