cod_contracargo;descripcion_motivo_contracargo;categoria_motivo_contracargo
4808;TRANSACCION NO AUTORIZADA POR EMISOR;AUTORIZACIÓN
4807;TARJETA BOLETINADA;AUTORIZACIÓN
4812;TARJETA NO EXISTE;AUTORIZACIÓN
4853;BIENES/SERVICIOS NO PROPORCIONADOS - DEVOLUCION NO PROCESADA;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4855;BIENES/SERVICIOS NO PROPORCIONADOS - CANCELADOS;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4854;DISPUTA DEL TARJETAHABIENTE - MOTIVO OTROS;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4859;ADENDA A TRANSACCIÓN,  NO SHOW,  DISPUTA ATM;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4841;TRANSACCION RECURRENTE CANCELADA;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4860;CREDITO NO PROCESADO;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
4837;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4840;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4849;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4863;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4870;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4871;FRAUDE SEGÚN TARJETAHABIENTE;FRAUDE
4834;PROCESADO MÚLTIPLE, ERROR EN IMPORTE, FUERA DE FECHA, PAGO OTRO MEDIO;ERRORES DE PROCESAMIENTO
4831;IMPORTE INCORRECTO;ERRORES DE PROCESAMIENTO
4842;PRESENTACIÓN TARDÍA;ERRORES DE PROCESAMIENTO
4846;MONEDA INCORRECTA;ERRORES DE PROCESAMIENTO
28;COPIA VOUCHER PRESENCIAL;SOL. COPIA
30;COPIA VOUCHER NO PRESENCIAL;SOL. COPIA
33;COPIA VOUCHER PRESENCIAL (FRAUDE);SOL. COPIA
10.1;10.1 FRAUD - EMV LIABILITY SHIFT COUNTERFEIT;FRAUDE
10.2;10.2 FRAUD - EMV LIABILITY SHIFT NON-COUNTERFEIT;FRAUDE
10.3;10.3 FRAUD - CARD PRESENT ENVIRONMENT;FRAUDE
10.4;10.4 FRAUD - CARD ABSENT ENVIRONMENT;FRAUDE
11.3;11.3 AUTHORIZATION - NO AUTHORIZATION;AUTORIZACIÓN
12.1;12.1 PROCESSING ERROR - LATE PRESENTMENT;ERRORES DE PROCESAMIENTO
12.2;12.2 PROCESSING ERROR - INCORRECT TRANSACTION CODE;ERRORES DE PROCESAMIENTO
12.3;12.3 PROCESSING ERROR - INCORRECT CURRENCY;ERRORES DE PROCESAMIENTO
12.5;12.5 PROCESSING ERROR - INCORRECT AMOUNT;ERRORES DE PROCESAMIENTO
12.6;12.6 DUPLICATE PROCESSING/PAID BY OTHER MEANS;ERRORES DE PROCESAMIENTO
12.6.1;12.6.1 PROCESSING ERROR - DUPLICATE PROCESSING;ERRORES DE PROCESAMIENTO
12.6.2;12.6.2 PROCESSING ERROR - PAID BY OTHER MEANS;ERRORES DE PROCESAMIENTO
12.7;12.7 PROCESSING ERROR - INVALID DATA;ERRORES DE PROCESAMIENTO
13.1;13.1 CONSUMER - MERCHANDISE/SERVICES NOT RECEIVED;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.2;13.2 CONSUMER - CANCELLED RECURRING TRANSACTION;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.3;13.3 CONSUMER - NOT AS DESCRIBED/DEFECTIVE;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.6;13.6 CONSUMER - CREDIT NOT PROCESSED;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.7;13.7 CONSUMER - CANCELLED MERCHANDISE/SERVICES;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.5;13.5 CONSUMER - MISREPRESENTATION;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
13.4;13.4 CONSUMER - COUNTERFEIT MERCHANDISE;SERVICIOS/MERCADERÍA - DISPUTAS DEL CONSUMIDOR
