MCC,Descripcion
0,SIN INFORMACIoN
1520,Contratistas Generales-Residenciales y Comerciales
1711,"Contratistas de Aire Acondicionado, calefaccion y fontaneria"
1731,Contratistas de Servicios Electricos
1740,Contratistas de Servicios de Aislamiento
1750,Contratistas de Carpinteria
1761,Contratistas de Techos y Revestimientos
1771,Contratistas de Trabajos de Hormigon
1799,"Contratistas, Oficios Especiales-no clasificados en otro lugar"
2741,Editoriales e Imprentas Miscelaneas2
2791,"Creacion de Placas, Composicion Tipografica y Servicios"
2842,"Saneamiento, Limpiadores y Preparaciones de Limpieza"
3000,United Airlines-UNITED
3001,American Airlines-AMERICAN
3002,PanAmerican-PAN AM
3003,Eurofly-EUROFLY
3004,Dragonair-DRAGONAIR
3005,British Airways-BRITISH A
3006,Japan Air Lines-JAL
3007,AirFrance-AIR FRAN
3008,Lufthansa-LUFTHAN
3009,AirCanada-AIR CAN
3010,Royal Dutch Airlines (KLM)-KLM
3011,Aeroflot-AEROFLOT
3012,Qantas-QANTAS
3013,Alitalia-ALITALIA
3014,Saudi Arabian Airlines-SAUDI AI
3015,Swiss International Air Lines-SWISS AIR
3016,Scandinavian Airline System (SAS)-SAS
3017,South African Airways-SAFRICAN
3018,Varig (Brasil)-VARIG
3019,Germanwings-GRMNWGAIR
3020,AirIndia-AIR-INDI
3021,AirAlgerie-AIRALGER
3022,Philippine Airlines-PAL AIR
3023,Mexicana-MEXICANA
3024,Pakistan International-PAKISTAN
3025,AirNew Zealand Limited International-AIR NZ
3026,Emirates Airlines-EMIRATES
3027,Union de Transports Aeriens-UTAAIR
3028,AirMalta-AIRMALTA
3029,SNBrussels Airlines-SNBRU AIR
3030,Aerolineas Argentinas-AERO ARG
3031,Olympic Airways-OLYMPICA
3032,ElAl-EL AL
3033,Ansett Airlines-ANSETT
3034,Etihad Airways-ETIHADAIR
3035,Tap(Portugal)-TAP
3036,VASP (Brasil)-VASP
3037,EgyptAir-EGYPTAIR
3038,Kuwait Airways-KUWAIT
3039,Avianca-AVIANCA
3040,Gulf Air (Bahrain)-GULF AIR
3041,Balkan-Bulgarian Airlines-BALKAN
3042,Finnair-FINNAIR
3043,AerLingus-AERLING
3044,AirLanka-AIR LANKA
3045,Nigeria Airways-NIGERIA
3046,Cruzeiro do Sul (Brazil)-CRUZEIRO
