valor_original;mc_aprobador;valor_destino;
75301501075000842900016;;75301501075000842900016;
75301501224005031301066;;75301501224005031301066;
75301502062001420300226;;75301502062001420300226;
75301502111002144500019;;75301502111002144500019;
75301503095002657910405;;75301503095002657910405;
75301503110002106786225;;75301503110002106786225;
75301503110002106786217;;75301503110002106786217;
75301503110002106786233;;75301503110002106786233;
75301503110002106753688;;75301503110002106753688;
75301503110002106786183;;75301503110002106786183;
75301503110001643087618;;75301503110001643087618;
75301503110001643036466;;75301503110001643036466;
75301503110001643115088;;75301503110001643115088;
74357043167000162100013;;74357043167000162100013;
74357043224000032900015;;74357043224000032900015;
75301503219000174500015;;75301503219000174500015;
75301503204001750920384;;75301503204001750920384;
75301503234001705100748;;75301503234001705100748;
75301503312000173400015;;75301503312000173400015;
74357044154001221722378;;74357044171000157700019;
75301504220002982314220;;75301504220002982314220;
75301504220002982314527;;75301504220002982314527;
75301504220002982314535;;75301504220002982314535;
75301504220002982314543;;75301504220002982314543;
75301504220002982314550;;75301504220002982314550;
75301504220002982314568;;75301504220002982314568;
75301504220002982314576;;75301504220002982314576;
75301504220002982314584;;75301504220002982314584;
75301504220002982314592;;75301504220002982314592;
75301504220002982314600;;75301504220002982314600;
75301504220002982314618;;75301504220002982314618;
75301504220002982303876;;75301504220002982303876;
75301504220002982303934;;75301504220002982303934;
75301504220002982303942;;75301504220002982303942;
75301504220002982303959;;75301504220002982303959;
75301504220002982312521;;75301504220002982312521;
75301504220002982312513;;75301504220002982312513;
75301504220002982312497;;75301504220002982312497;
75301504220002982312505;;75301504220002982312505;
75301504316000101100038;MC0031;75301504316000101100038;
75301504288000361800016;MC2058;75301504288000361800016;
75301504334000321300010;;75301504334000321300010;
75301504347000377800017;MC2058;75301504347000377800017;
75301504361000069600015;MCPC100WEB;75301504361000069600015;
74357045197002323702314;;74096235197000190021423;
74357045112001201900034;;74096235112000150068879;
74357045107004035400053;;74096235107000160129700;
74357045162003034103884;;74096235162000190021614;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
