valor_original;mc_aprobador;valor_destino
10010140549203610461115;;74357041317005270000065
10008230636554088900824;;74357042234005718000055
10011240709081339951229;;74357041361005169400108
74357043101001659847487;;74357043102956681847483
74357043081001682333517;;74357043081774368333510
74357043103001791838533;;74357043103882508838530
74357043101001659887954;;74357043101895085887953
74357043093001480909316;;74357043093804304909317
74357043061002085381354;;74357043063004306000019
74357043060003192316599;;74357043138000072300014
74357043116001783300307;;74357043117000276300013
74357043261004354900060;;74096233261000110102531
74357043257004366900021;;74096233257000110168124
74357043257004367000078;;74096233257000110168710
74357043273004964900068;;74096233273000110074520
74357043338006302500032;;74096233338000110397858
74357043346005705100143;;74096233346000110492709
74357043340006235100138;PR0034;74096233340000110234354
74357043340006235100138;;74096233340000110233919
74357043336004648000165;;74096233336000110332659
75301503145003546300055;;74357043145003546300058
75301503144003912400555;;74357043144003912400558
75301503145006299900112;;74357043145006299900115
75301503145005344400649;;74357043145005344400642
75301503145004617600548;;74357043145004617600541
75301503144002707218313;;74357043144002707218316
75301503144002706839119;;74357043144002706839112
75301503145003696100719;;74357043145003696100712
75301503144003154700415;;74357043144003154700418
75301503144005069701453;;74357043144005069701456
75301503144004665600722;;74357043144004665600725
75301503144005857700196;;74357043144005857700199
75301503145007778200255;;74357043145007778200258
75301503145004110100434;;74357043145004110100437
75301503145005570500609;;74357043145005570500602
75301503145005184500011;;74357043145005184500014
75301503144003241700063;;74357043144003241700066
75301503145003393800058;;74357043145003393800051
75301503144003563900036;;74357043144003563900039
75301503144005165700318;;74357043144005165700311
75301503145003812600485;;74357043145003812600488
75301503145005185200041;;74357043145005185200044
75301503145008653400010;;74357043145008653400013
75301503144000166900017;;74357043144000166900010
75301503144007245400547;;74357043144007245400540
75301503144002707225383;;74357043144002707225386
75301503145001342600025;;74357043145001342600028
75301503145009671700191;;74357043145009671700194
75301503145001797000358;;74357043145001797000351
75301503144006427100032;;74357043144006427100035
75301503145004765200869;;74357043145004765200862
75301503145009301200182;;74357043145009301200185
75301503144005000700069;;74357043144005000700062
75301503145005495100279;;74357043145005495100272
75301503144005012200074;;74357043144005012200077
75301503144005010500020;;74357043144005010500023
74357044073004678000122;;74096234073000110206767
74357044101004908100052;;74096234101000110555896
74357044101004908200043;;74096234101000110555441
74357044092005399400308;;74096234092000110147174
74357044101004895300020;;74096234101000110438879
74357044101004895400028;;74096234101000110438515
74357044101004895500025;;74096234101000110439968
74357044101004893900052;;74096234101000110358333
74357044104005492300039;;74096234103000110667509
74357044104005492200171;;74096234103000110668036
74357044104005492100181;;74096234103000110667772
74357044108004704700033;;74096234108000110621121
74357044108004704800023;;74096234108000110621642
74357044108004932700086;;74096234108000110456023
74357044108004932800050;;74096234108000110455538
74357044108004932900157;;74096234108000110456510
74357044109005255000102;;74096234109000110658031
74357044109005255100043;;74096234109000110658486
74357044108004784200029;;74096234108000110227515
74357044108004784300019;;74096234108000110224371
74357044108004784400025;;74096234108000110225345
74357044108004784500055;;74096234108000110227093
74357044104005373300041;;74096234104000110316502
74357044145005647900023;;74096234145000110224202
74357044145005648000138;;74096234145000110224046
74357044160005714700140;;74096234160000110723872
74357044144005242700027;;74096234144000110367473
74357044162004840200057;;74096234162000110047759
74357044162004840400020;;74096234162000110050415
74357044153006195500313;;74096234153000110712056
74357044153006195600022;;74096234153000110711868
74357044153006195700079;;74096234153000110711967
74357044185004856735676;;74096234185000110268325
74357044226003655419517;;74096234226000110166645
74357044238003029714185;;74096234237000110771193
74357044206003757820996;;74096234206000110269567
74357044226003655415945;;74096234226000110259424
74357044239003763223525;;74096234239000110274022
74357044228003782317368;;74096234228000110643518
74357044246003849054978;;74096234246000110151221
74357044273003332914528;;74096234273000110181828
10007140626241067270716;;74357044196003029300035
74357044242003664039884;;74096234242000110134833
74357044223003694918282;;74096234223000110005317
74357044340004663001702;;74096234337000060000725
74357044239003763043881;;74096234239000110116496
74357044333004228714400;;74096234333000150004292
74357044240003648401889;;74096234240000110003568
74357044345003741523989;;74096234345000090015271
74357044345003741520381;;74096234345000110010690
74357044366003463832737;;74096234366000090043731
74357044366003463832828;;74096234366000090042451
74357044366003463842082;;74096234365000230001491
74357045028003463606591;;74096235028000090028911
74357045016003442525767;;74096235016000080003241
74357045029003317622553;;74096235029000100043867
74357044359003436645124;;74096234359000090036072
74357045035003238500534;;74096235035000200032580
74357045035003238500260;;74096235035000200034768
74357045035003238603569;;74096235035000100011932
74357045060002623167915;;74096235060000120126684
74357045064003400705832;;74096235064000160030669
74357045071002886613842;;74096235071000150048607
74357045080003306204211;;74096235080000170023407
74357045080003306203791;;74096235080000170042274
74357045065004363540546;;74096235064000220013929
74357045076003039700341;;74096235076000200048420
74357045079006750200026;;74096235079000170021057
74357045065004363501175;;74096235065000200013625
74357045065004363501191;;74096235065000200013336
74357045073002859800077;;74096235073000190072292
74357045098003887500011;;74096235098000150174410
74357045100005617400129;;74096235100000140124356
74357045104008187500860;;74096235104000110065551
74357045097007368700264;;74096235096000030022674
74357045111002722920361;;74096235111000090030782
74357045111009108800034;;74096235111000150095618
74357045095002512923807;;74096235095000130015348
74357045140003942200761;;74096235140000130036745
74357045138004571500079;;74096235138000140002426
74357045131004957600417;;74096235131000140011697
74357045130006203700132;;74096235130000150019110
74357045133003628525431;;74096235133000150018291
74357045166004068000034;;74096235166000100171166
10012180045222759261225;;75301504352008777900016
10012102226276837731212;;75301504345002312400012
10001030237533143380104;;75301505002002317000016
10012172303282506081225;;75301504352008778000014
10012280753156708361230;;75301504363002316800016
10012202315457411401225;;75301504355008777700017
10012282053557193461230;;75301504363002316900014
10012280412136390881229;;75301504362008791100013
74357045158002839405656;;74096235158000140014038
74357045136004150800173;;74096235136000110035986
74357045136004150800165;;74096235136000110038303
10012040817004075261205;;75301504338005076800011
74357045165002407700166;;74096235165000150171869
74357045178004761900049;;74096235178000190162956
74357045185001822627604;;74096235185000120079354
74357045181001618802068;;74096235181000200159708
74357045188002397800037;;74096235188000140206513
74357045196003978500038;;74096235196000170020206
74357045175001538121613;;74096235175000080058408
74357045197002323504330;;74096235196000210170581
74357045196002903303328;;74096235196000160165763
74357045208001329211707;;74096235208000090023690
74357045213001596314625;;74096235213000170022094
74357045215001371711811;;74096235215000150006941
74357045211008496713006;;74096235211000080052811
74357045205001616011557;;74096235205000100008056
74357045205001616025573;;74096235205000090002119
74357045213001596351627;;74096235213000070065201
74357045217003893339319;;74096235217000150143650
74357045214002398709573;;74096235213000210130311
