modelo_mcc;modelo_terminal;marca;pci;ctls;modelo_corto;medio
ICT220;Ingenico - ICT220;Ingenico;NO PCI;NO SW CTLS;ICT220;
ICT250;Ingenico - ICT220;Ingenico;NO PCI;NO SW CTLS;ICT250;
IWL250;Ingenico - IWL250;Ingenico;NO PCI;NO SW CTLS;IWL250;GPRS Movil
OMNI3750;Verifone - Omni3750;Verifone;PRE PCI;NO SW CTLS;OMNI3750;
VX520;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_CHIPAMEX;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_DIAL;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_PREAMP;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_SBP;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_SP;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX520_SP_CHIPAMEX;Verifone - VX520;Verifone;NO PCI;NO SW CTLS;VX520;
VX680;Verifone - VX680;Verifone;NO PCI;NO SW CTLS;VX680;GPRS Movil
VX680_CHIPAMEX;Verifone - VX680;Verifone;NO PCI;NO SW CTLS;VX680;GPRS Movil
VX680_SP;Verifone - VX680;Verifone;NO PCI;NO SW CTLS;VX680;GPRS Movil
VX680_SP_CHIPAMEX;Verifone - VX680;Verifone;NO PCI;NO SW CTLS;VX680;GPRS Movil
VX820;Verifone - VX820;Verifone;NO PCI;NO SW CTLS;VX820;PINPAD
VX820_CHIPAMEX;Verifone - VX820;Verifone;NO PCI;NO SW CTLS;VX820;PINPAD
VX510;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_CHIPAMEX;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_DIAL;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_PCI;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_PREAMP;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_SBP;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_SP;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX510_SP_CHIPAMEX;Verifone - VX510;Verifone;PRE PCI;NO HW CTLS;VX510;
VX610;Verifone - VX610;Verifone;PRE PCI;NO HW CTLS;VX610;
VX610_CHIPAMEX;Verifone - VX610;Verifone;PRE PCI;NO HW CTLS;VX610;
VX610_PCI;Verifone - VX610;Verifone;PRE PCI;NO HW CTLS;VX610;
VX610_SBP;Verifone - VX610;Verifone;PRE PCI;NO HW CTLS;VX610;
VX610_SP;Verifone - VX610;Verifone;PRE PCI;NO HW CTLS;VX610;
VX670;Verifone - VX670;Verifone;PRE PCI;NO HW CTLS;VX670;
VX810;Verifone - VX810;Verifone;PRE PCI;NO HW CTLS;VX810;PINPAD
VX810_8012;Verifone - VX810;Verifone;PRE PCI;NO HW CTLS;VX810;PINPAD
VX810_8012_CHIPAMEX;Verifone - VX810;Verifone;PRE PCI;NO HW CTLS;VX810;PINPAD
VX810_8012_PCI;Verifone - VX810;Verifone;PRE PCI;NO HW CTLS;VX810;PINPAD
C680;Verifone - C680;Verifone;;;C680;GPRS Movil
ClienteIPH;DSPREAD - QPOS Mini;DSPREAD;;;Cliente;mPOS
D200;Pax - D200;Pax;;;D200;GPRS Movil
DX8000;Ingenico - DX8000;Ingenico;;;DX8000;GPRS Movil
ICT220_PCI;Ingenico - ICT220;Ingenico;;;ICT220;
ICT250_PCI;Ingenico - ICT220;Ingenico;;;ICT220;
IWL220_PCI;Ingenico - IWL220;Ingenico;;;IWL220;GPRS Movil
IWL250_PCI;Ingenico - IWL250;Ingenico;;;IWL250;GPRS Movil
LINK2500;Ingenico - Link2500;Ingenico;;;LINK2500;GPRS Movil
MOVE5000;Ingenico - Move5000;Ingenico;;;MOVE5000;GPRS Movil
MX915;Verifone - Mx915;Verifone;;;MX915;PINPAD
MX925;Verifone - Mx925;Verifone;;;MX925;PINPAD
P2MINI;Sunmi - P2MINI;Sunmi;;;P2MINI;GPRS Movil
P2SE;Sunmi - P2SE;Sunmi;;;P2SE;GPRS Movil
P400;Verifone - P400;Verifone;;;P400;PINPAD
V240M;Verifone - V240M;Verifone;;;V240M;GPRS Movil
VX520_PCI;Verifone - VX520;Verifone;;;VX520;
VX520C;Verifone - VX520C;Verifone;;;VX520C;GPRS Movil
VX680_PCI;Verifone - VX680;Verifone;;;VX680;GPRS Movil
VX820_PCI;Verifone - VX820;Verifone;;;VX820;PINPAD
ClienteAD;DSPREAD - QPOS Mini;DSPREAD;;;Cliente;mPOS
