### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
txBatch;Contiene los Lotes generados por los Terminales;0
taFloorLimit;Contiene los límites de piso por pe rfil de comercio y transacción.;0
taMerchantProfile Application;Donde se registran los de perfiles de comercio donde se generan las;0
taUsuarioRol - BD de Seguridad;Tabla de relación entre Usuarios y Roles.;0
taUsuMerchant;CAMPO DESCRIPCIÓN TIPO LONG. REQ. VALORES;0
tmApplication;Registro de las aplicaciones que soporta el sistema .;1
tmDownloadProfile;Contiene los perfiles de download usados para las actualizaciones;1
tmMerchant;Registro de Establecimientos Comerciales.;10
tm MerchantChain;Registro de l as cadenas comerciales del sistema;1
tmMerchantProfile;Perfiles de Comerc io.;0
tmTransactionT ype;Tipos de transacciones.;0
tmTerminal;Contiene los Terminales (POS) registrados en cada comercio.;21
tpRequestInstall;Tabla que almacena las solicitudes de instalación de terminales .;3
TpRequestInstallLog;Tabla que almacena el estado de la solicitud de instalación de terminales.;6
TpRequestInstallType;Tabla que almacena los tipos de terminales i nstalados en una solicitud de;4
txListField;Almacena los códigos y descripciones usados en las listas mostradas en;0
tmUsuario;Tabla maestra de Usuarios.;1
tpTransactionEmail;Tabla que almacena las solicitudes de envio de vouchers .;0
tmTasa;Tabla que almacena el detalle de cada tasa .;1
tmPerfilIva;Tabla que almacena el detalle de l perfil Iva a asociar al comercio.;0
taPerfilIvaTasa;Tabla intermedia que gestiona la relación entre los perfiles de IVA;1


### COLUMNAS ###
Nombre tabla;Nombre columna;Descripción columna;Tipo columna;Longitud;Req;Valores
tmApplication;archivos;nApApplicationFlowSize Tamaño en bytes de la carpeta LZMA de archivos de cApModifyUser Código de usuario de última modificación del registro Caracter 7 NO fApModifyDate Fecha de última modificación hApModifyTime Hors de última modificación Diccionario de Campos V3 .0 13;Bigint;64;NO;del registro Caracter 8 NO AAAAMMDD, del registro Caracter 6 NO HHMMSS
tmDownloadProfile;remotas;Campo Descripción Tipo Long. Req. Valores cDPProfileID Identificador del perfil dDPProfileName Nombre del perfil de download Caracter 30 SI dDPDescription Descripción del perfil de download Caracter 225 SI cDPVersioID1 Identificador de la versión de archivos asociada al perfil. BigInt 8 NO 1 En deshuso a partir de la versión 2.1.0.0 de Hipercenter;Bigint;8;SI;
tmMerchant;Manual;dMrContactName Nombre del co ntacto en dMrMerchantName Nombre o descripción del comercio Caracter 64 NO dMrAddress Dirección del Comercio Caracter 32 NO dMrPhone Teléfono del Comercio Caracter 15 NO cMrDepartCode Código de Identificación geográfica d el Departamento en el que se encuentra ubicado el Comercio Caracter 8 NO Número que identifica al Departamento, según información del;Caracter;32;NO;
tmMerchant;INEI;Diccionario de Campos V3 .0 14 cMrProvinceCode Código de Identificación geográfica de la Provincia en el que se encuentra ubicado el Comercio Carac ter 8 NO Número que identifica a la Provincia, según información del INEI cMrDistrictCode Código de Identificación geográfica del Distrito en el que se encuentra al Distrito, según información del IN EI fMrContrSignDate Fecha en que el comercio firmo el contrato con el Banco. Proporciona una idea del tiempo que el comercio ha estado cMrTransSale Flag que indica si el comercio soporta compras. Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransCash Flag que indica si el comercio soporta disposición de efectivo. Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransGas Flag que indica si el comercio soporta venta de gasolina. Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransService Flag que indica si el comercio soporta pago de servicios Caracter 1 NO 0: Sí soporta 1: No soporta nMrFreqSettle Frecuencia (en días) con la que el comercio, debería realizar Cierres. Campo solo informativo, no tomado en cuenta Numeric 2 NO cMrMCC MCC Giro o Rubro Caracter 8 NO cMrReqCashBack Flag que indica si el comercio soporta cashback Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;8;NO;trabajando con el Banco. Caracter 8 NO AAAAMMDD
tmMerchant;cMrTransPreAutoriza;tion Flag que indica si el comercio soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransConfirmacio;n Flag que indica si el comercio soporta confirmación de 1: No soporta cMrTransSalePoints Flag que indica si el comercio soporta canje de puntos Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransPoints Flag que indica si el comercio soporta consulta de puntos Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransPropina Flag que indica si el comercio soporta ingreso de propina Caracter 1 NO 0: Sí soport a 1: No soporta Diccionario de Campos V3 .0 15;Caracter;1;NO;
tmMerchant;cMrTransPagoServic;e Flag que indica si el comercio soporta pago 1: No soporta cMrTransAnular Flag que indica si el comercio soporta anulación Caracter 1 NO 0: Sí soporta 1: No soporta cMrTra nsAnularPS Flag que indica si el comercio soporta anulación de pago de servicios Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransAnularSP Flag que indica si el comercio soporta anulación de puntos Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransC ierre Flag que indica si el comercio soporta cierre Caracter 1 NO 0: Sí soporta 1: No soporta cMrRucCode RUC Caracter 13 NO cMrAdministratorKey Clave o password del administrador Caracter 64 NO cMrAccessType Tipo de acceso Caracter 1 NO 0: Libre 1: Requiere Login cMrCloseType Tipo de cierre (No empleado) Caracter 1 NO 0: Automático 1: Manual 2: Ambos cMrCloseTime Hora de cierre automático (No empleado) Caracter 6 NO cMrAccessTrx Tipo de acceso a la transacción Caracter 1 NO 0: Libre 1: Requiere Password 2: Requiere Login 3: Bloqueado cMrCardWriter Indicador de digitación de la tarjeta Caracter 1 NO 0: Permitido 1: Restringido 2: Requiere Password cMrPropina Indica como está configurada la propina Caracter 1 NO 0: Ingreso en línea o;Caracter;1;NO;
tmMerchant;posterior;1: Porcentaje en;;;;
tmMerchant;propinas;cMrMoneyMult Indicador de múltiples 1: Soles y dólares cMrLastNumber Indicador para solicitar los 4 últimos dígitos Caracter 1 NO 0: No pide 1: Si pide cMrReqDNI Indicador para solicitar DNI Caracter 1 NO 0: No pide 1: Si pide cMrProfileId Perfil de comercio asociado Caracter 15 SI cMrLimitAmount Límite operativo en soles del comercio Numeric 24,2 NO cMrSaldoAmount Saldo en soles del comercio Numeric 24,2 NO Diccionario de Campos V3 .0 16 cMrVoidKey Clave para autorizar anular transacciones Caracter 16 NO cMrSettleKey Clave para autorizar cierre de turno Caracter 16 NO cMrPaymentKey Clave para autorizar anular pagos Caracter 16 NO cMrDigitKey Clave para autorizar digitar número de tarjeta Caracter 16 NO cMrNetBin Caracter 6 NO cMrOperatorReq Caracter 1 NO cMrValOperator Caracter 1 NO;Caracter;1;NO;
tmMerchant;cMrLimitAmountDolla;r Límite operativo en;Numeric;24,2;NO;
