### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
txBatch;Contiene los Lotes generados por los Terminales;17
taFloorLimit;Contiene los límites de piso por pe rfil de comercio y transacción.;10
taMerchantProfile Application;Donde se registran los de perfiles de comercio donde se generan las;27
taUsuarioRol  - BD de Seguridad;Tabla de relación entre Usuarios y Roles.;4
taUsuMerchant;CAMPO DESCRIPCIÓN TIPO LONG. REQ. VALORES;4
tmApplication;Registro de las aplicaciones que soporta el sistema .;6
tmDownloadProfile;Contiene los perfiles de download usados para las actualizaciones;5
tmMerchant;Registro de Establecimientos Comerciales.;65
tm MerchantChain;Registro de l as cadenas comerciales del sistema;15
tmMerchantProfile;Perfiles de Comerc io.;5
tmTransactionT ype;Tipos de transacciones.;27
tmTerminal;Contiene los Terminales (POS) registrados en cada comercio.;130
tpRequestInstall;Tabla que almacena las solicitudes de instalación de terminales .;69
TpRequestInstallLog;Tabla que almacena el estado de la solicitud de instalación de terminales.;11
TpRequestInstallType;Tabla que almacena los tipos de terminales i nstalados en una solicitud de;13
txListField;Almacena los códigos y descripciones usados en las listas mostradas en;8
tmUsuario;Tabla maestra de Usuarios.;28
tpTransactionEmail;Tabla que almacena las solicitudes de envio de vouchers .;37
tmTasa;Tabla que almacena el detalle de cada tasa .;14
tmPerfilIva;Tabla que almacena el detalle de l perfil Iva a asociar al comercio.;11
taPerfilIvaTasa;Tabla intermedia que gestiona la relación entre los perfiles de IVA;14


### COLUMNAS ###
Nombre tabla;Nombre columna;Descripción columna;Tipo columna;Longitud;Req;Valores
txBatch;cBtMerchantId;Código del Comercio Caracter 15 SI;;;;
txBatch;cBtTerminalNum;Número del Terminal, dentro del comercio. Caracter 4 SI;Caracter;4;SI;
txBatch;cBtBatchId;Código o número de Lote generado por el terminal . Caracter 8 SI Número correlativo para el terminal;Caracter;8;SI;
txBatch;cBtStatus;Estado actual del Lote Caracter 1 SI 0 - En proceso (generándose);;2;;2 - Cerrado, 4 - Procesado
txBatch;cBtSettleId;Código de Cierre en la que el Lote fue procesado Caracter 8 SI Nulo Hasta que el Lote sea procesado en el cierre diario;Caracter;8;SI;
txBatch;fBtCreationDate;Fecha en que el Lote fue creado. El Lote se crea cuando se realiza el cierre de operaciones del;Caracter;8;SI;Terminal. Caracter 8 SI AAAAMMDD
txBatch;hBtCreationHour;Hora en que el Lote fue creado. El Lote se crea cuando se realiza el cierre de operaciones del;Caracter;6;SI;Terminal. Caracter 6 SI HHMMSS
txBatch;nBtTxnNumber;Número Total de transacciones incluidas en el Lote(incluida la transacción utilizada para cerrar el Lote) Decimal 7 SI;Decimal;7;SI;
txBatch;nBtTotalAmount;Es el total acumulado Decimal 24,2 SI Este valor se calcula al momento de generar el Lote;;;;
txBatch;nBtVoidTxnNum;Número de Transacciones Anuladas. Decimal 7 SI;Decimal;7;SI;
txBatch;nBtVoidTotAmount;Es el total acumulado de transacciones anuladas Decimal 12,2 SI Este valor se calcula al momento de generar el Lote;Decimal;12,2;SI;
txBatch;cBtAplicacion;Aplicación Caracter 20 SI;;;;
txBatch;CbtModifyUser;Código de usuario de última modificación del;;;;
txBatch;registro;Caracter 7 NO Diccionario de Campos V3 .0 9;;0;;
txBatch;cBtModifyDate;Fecha de última modificación del registro Caracter 8 NO cBtModi fyTime Hora de última modificación del registro Caracter 6 NO;Caracter;8;NO;
txBatch;cBtType;Tipo de cierre del terminal Caracter 1 NO 0 = Manual 1 = Automático 2 = Web;;1;;
txBatch;cBtReason;Motivo de cierre, cuando se cierra a través de la web. Caracter 2 NO;Caracter;2;NO;
taFloorLimit;cFLProfileId;Código del Perfil de;;;;
taFloorLimit;Comercio;Caracter 15 SI;;;;
taFloorLimit;cFLTransactionId;Código de la Transacción Caracter 2 SI;Caracter;2;SI;
taFloorLimit;nFLFloorLimit;Límite de piso en Soles Decimal 12,2 NO 10 enteros y 2 decimales (sin punto decimal);Decimal;;;
taFloorLimit;cFLStatus;Estado en que se encuentra las opciones de Límite de Piso Caracter 1 NO 0 - Habilitado;Caracter;1;NO;1 - Inhabilitado
taFloorLimit;nFLFloorLimitDollar;Límite de pis o en Dólares Decimal 12,2 NO 10 enteros y 2 decimales (sin punto decimal);Decimal;;;
taFloorLimit;cFLAplicacion;Caracter 20 SI;;;;
taFloorLimit;cFLModifyUser;Caracter 7 NO;;;;
taFloorLimit;fFLModifyDate;Caracter 8 NO;;;;
taFloorLimit;hFLModifyTime;Caracter 6 NO;;;;
taMerchantProfile Application;cMAMerchantProfileId;Código del perfil de;;;;
taMerchantProfile Application;comercio;Carac ter 15 SI Diccionario de Campos V3 .0 10;;0;;
taMerchantProfile Application;cMAApplicationID;Código de la aplicación Caracter 20 SI;Caracter;20;SI;
taMerchantProfile Application;cMAAccessType;Caracter 1 NO;;;;
taMerchantProfile Application;cMACloseType;Caracter 1 NO;;;;
taMerchantProfile Application;cMAAccessTrx;Caracter 1 NO;;;;
taMerchantProfile Application;cMACardWriter;Caracter 1 NO;;;;
